ID,言葉,フリガナ,言葉意味,答A,答B,答C,正答,例,例意味,言語,
1,昨日,きのう,हिजो,हिजो,वर्ष,बाँच्न,हिजो,"昨日は,いろいろとお世話になりました.",हिजोको लागि धन्यवाद।,ネパール語,N3
2,行列,ぎょうれつ,लाइन,लाइक,लाइन,सांस्कृतिक,रेखा,日本では駅での整然とした行列を見ることができる,"जापानमा, तपाईले स्टेशनहरूमा परम्परागत लाइनहरू देख्न सक्नुहुन्छ।",ネパール語,N3
3,資格,しかく,योग्यता,गुणस्तर,छिटो,योग्यता,योग्यता,就職のためにどんな資格が必要ですか.,मैले जागिर पाउन के के योग्यताहरू चाहिन्छ?,ネパール語,N3
4,責任,せきにん,जिम्मेवारी,भोजनालय,जिम्मेवारी,मुद्दाहरू,जिम्मेवारी,今の仕事は責任が重い.,यो काम धेरै जिम्मेवारी संग आउँछ।,ネパール語,N3
5,常,つね,सधैं,सधैं,अनुमति दिनुहोस्,कुरा गर्न,सधैं,"常に,家族の健康を考えている.",म सधैं मेरो परिवारको स्वास्थ्यको बारेमा सोच्दछु।,ネパール語,N3
6,安全,あんぜん,सुरक्षित,भन्नुभयो,सुरक्षित,ग्रामीण,सुरक्षित,安全な場所に車を止めた.,मैले मेरो कार सुरक्षित ठाउँमा पार्क गरें।,ネパール語,N3
7,画面,がめん,पर्दा,पेंच,पर्दा,वस्तु,पर्दा,"パソコンの画面を見ると,目が疲れる.",कम्प्युटरको स्क्रिनमा लगातार हेर्दा तपाईंको आँखा थकित हुन्छ।,ネパール語,N3
8,正面,しょうめん,अगाडि,अगाडि,बाट,सामना गर्दै,अगाडि,パン屋の正面に小さいな本屋がある.,बेकरीको अगाडि एउटा सानो पुस्तक पसल छ।,ネパール語,N3
9,研修,けんしゅう,तालिम,तालिम,परम्परा,दौडिरहेको,तालिम,"採用が決まって,すぐに研修が始まる.","एक पटक भर्ती निर्णय गरेपछि, प्रशिक्षण तुरुन्तै सुरु हुनेछ।",ネパール語,N3
10,知識,ちしき,ज्ञान,ज्ञान,राख्न,युद्ध,ज्ञान,もっといろいろな知識を増やしたい.,म बिभिन्न कुराहरुको ज्ञान बढाउन चाहन्छु।,ネパール語,N3
11,父親,ちちおや,बुबा,बुबा,बुबा,कम्पनी,बुबा,父親は今年50歳になる。,मेरो बुबा यो वर्ष 50 वर्ष पुग्नुभयो।,ネパール語,N3
12,母親,ははおや,आमा,बहिनी,आमा,शैक्षिक पृष्ठभूमि,आमा,母親の料理は、とてもおいしい。,मेरी आमाले पकाएको खाना एकदमै मिठो हुन्छ ।,ネパール語,N3
13,長女,ちょうじょ,जेठी छोरी,भविष्य,माध्यमिक,जेठी छोरी,जेठी छोरी,私は長女で、妹が一人いる。,म जेठी छोरी हुँ र एउटी कान्छी बहिनी छ।,ネパール語,N3
14,長男,ちょうなん,जेठो छोरा,長男,समस्या,जेठो छोरा,जेठो छोरा,姉に元気な長男が生まれた。,मेरी बहिनीले स्वस्थ जेठो छोरालाई जन्म दिइन्।,ネパール語,N3
15,次女,じじょ,दोस्रो जेठी छोरी,भारी,दोस्रो जेठी छोरी,बार्गेनहरू,दोस्रो जेठी छोरी,次女は母に似ている。,मेरी दोस्रो छोरी मेरी आमा जस्तै देखिन्छ।,ネパール語,N3
16,次男,じなん,दोस्रो छोरा,समयमा,दोस्रो छोरा,सतह,दोस्रो छोरा,次男はとても背が高い。,मेरो दोस्रो छोरा धेरै अग्लो छ।,ネパール語,N3
17,三女,さんじょ,तेस्रो छोरी,प्लेटफर्म,तेस्रो छोरी,आदर्श,तेस्रो छोरी,三女は小学一年生だ。,मेरी तेस्रो छोरी प्राथमिक विद्यालयको पहिलो कक्षामा छिन्।,ネパール語,N3
18,三男,さんなん,तेस्रो छोरा,तेस्रो छोरा,परिवार,नक्कली,तेस्रो छोरा,三男は兄弟の中で一番元気だ。,तेस्रो छोरा दाजुभाइमध्ये सबैभन्दा जोसिलो छ।,ネパール語,N3
19,末っ子,すえっこ,कान्छो बच्चा,कान्छो बच्चा,उज्यालो,असर,कान्छो बच्चा,彼は5人兄弟の末っ子だ。,उहाँ पाँच दाजुभाइमध्ये कान्छो हुनुहुन्छ।,ネパール語,N3
20,一人っ子,ひとりっこ,एक्लो सन्तान,एक्लो सन्तान,एउटा जागिर,सिक्नु,एक्लो सन्तान,私の友達には、一人っ子が多い。,मेरा धेरै साथीहरू बच्चाहरू मात्र हुन्।,ネパール語,N3
21,姉妹,しまい,बहिनीहरू,शुभकामना,बहिनीहरू,सहर,बहिनीहरू,私は3人姉妹の末っ子だ。,तीन दिदीबहिनीमध्ये म कान्छी हुँ।,ネパール語,N3
22,一人娘,ひとりむすめ,एक्लो छोरी,गुणस्तर,स्थिति,एक्लो छोरी,एक्लो छोरी,父親は一人娘の結婚式で泣いた。,एउटी छोरीको बिहेमा एक बुबा रोए ।,ネパール語,N3
23,親子,おやこ,बुबा,व्यापार,बुबा,बाँच्न,बुबा,最近、親子でよく海外旅行をしている。,पछिल्लो समय बुबाआमासँग धेरै विदेश घुमिरहेकी छु ।,ネパール語,N3
24,夫婦,ふうふ,जोडी,जोडी,साथी,सांस्कृतिक,जोडी,佐藤さん夫婦は、毎日散歩している。,श्रीमान र श्रीमती सातो हरेक दिन हिड्छन्।,ネパール語,N3
25,夫妻,ふさい,श्रीमान् र श्रीमती,खर्च,श्रीमान् र श्रीमती,वास्तविक,श्रीमान् र श्रीमती,部長ご夫妻の家に招待された。,मलाई म्यानेजर र उनकी श्रीमतीको घरमा बोलाइयो।,ネパール語,N3
26,親類,しんるい,आफन्तहरू,कम्पनी,भन्नुहोस्,आफन्तहरू,आफन्तहरू,田中さんと私は親類だ。,तानाका र मेरो सम्बन्ध छ।,ネパール語,N3
27,先祖,せんぞ,पुर्खा,पुर्खा,पछ्याउन,कुरा गर्न,पुर्खा,うちの先祖に、有名なサムライがいるそうだ。,स्पष्ट रूपमा मेरो पुर्खाहरू मध्ये एक प्रसिद्ध समुराई थिए।,ネパール語,N3
28,尊敬(する）,そんけい,सम्मान,सम्मान,व्यक्ति,ग्रामीण,सम्मान,私は両親をとても尊敬している。,म मेरा आमाबुवालाई धेरै सम्मान गर्छु।,ネパール語,N3
29,叔父,おじ,काका,ढोका,काका,वस्तु,काका,父とおじは二人兄弟だ。,मेरो बुवा र काका दुई भाइ हुनुहुन्छ।,ネパール語,N3
30,叔母,おば,काकी,सडक,गुणस्तर,काकी,काकी,私は母親よりおばに、いろいろ相談する。,म मेरी आमा भन्दा धेरै पटक मेरी काकीलाई सल्लाह दिन्छु।,ネパール語,N3
31,従兄,いとこ,चचेरे भाई,चचेरे भाई,व्यापार,उल्लेख गर्नुहोस्,चचेरे भाई,今日、いとこが遊びにくる。,मेरो काका आज भेट्न आउँदैछ।,ネパール語,N3
32,甥,おい,भतिजा,कमजोर,काम,भतिजा,भतिजा,おいが生まれて、私もおばさんになった。,"जब मेरो भतिजा जन्मियो, म पनि काकी भएँ।",ネパール語,N3
33,姪,めい,भतिजी,ध्वनि,भतिजी,भाइरल,भतिजी,おいも名も、とてもかわいい。,भतिजा र नाम दुबै धेरै प्यारो छ।,ネパール語,N3
34,連れる,つれる,साथमा लिनुहोस्,सामना गर्दै,कम्पनी,साथमा लिनुहोस्,साथमा लिनुहोस्,子供を連れて、近所の公園に行く。,आफ्नो बच्चालाई नजिकैको पार्कमा लैजानुहोस्।,ネパール語,N3
35,似る,にる,मिल्दोजुल्दो,मिल्दोजुल्दो,ऋण,कुटीर,मिल्दोजुल्दो,父に似ていると言われます。,उनी आफ्नो बुबाजस्तै देखिने गरेको बताइएको छ ।,ネパール語,N3
36,そっくりな,そっくりな,ठ्याक्कै जस्तो देखिन्छ,युद्ध,ठ्याक्कै जस्तो देखिन्छ,भरिएको,ठ्याक्कै जस्तो देखिन्छ,妹の顔は、父親にそっくりだ。,मेरी दिदीको अनुहार ठ्याक्कै उनको बुबा जस्तै देखिन्छ।,ネパール語,N3
37,親友,しんゆう,घनिष्ठ मित्र,कम्पनी,ढोका,घनिष्ठ मित्र,घनिष्ठ मित्र,私には親友が3人います。,मेरो तीन मिल्ने साथीहरू छन्।,ネパール語,N3
38,仲間,なかま,सहकर्मी,शैक्षिक पृष्ठभूमि,सहकर्मी,अगाडि,सहकर्मी,彼もサッカーの仲間に入れよう。,उहाँलाई हाम्रो फुटबल टोलीमा समावेश गरौं।,ネパール語,N3
39,仲良し,なかよし,राम्रो साथीहरू,सीमा,लोड,राम्रो साथीहरू,राम्रो साथीहरू,クラスメートは、みんな仲良しだ。,मेरा सबै सहपाठीहरू असल साथी हुन्।,ネパール語,N3
40,幼なじみ,おさななじみ,बाल्यकाल,बाल्यकाल,कमजोर,पर्खनुहोस्,बाल्यकाल,いなかに帰ると、いつも幼なじみ似会う。,"जब म गाउँ फर्कन्छु, म सधैं मेरा बाल्यकालका साथीहरूलाई देख्छु।",ネパール語,N3
41,友情,ゆうじょう,मित्रता,बार्गेनहरू,मित्रता,रोक,मित्रता,彼との友情をいつまでも大切にしたい。,म उहाँसँग मेरो मित्रताको कदर गर्न चाहन्छु।,ネパール語,N3
42,親しい,したしい,म चाहन्छु,किफायती,डकैती,म चाहन्छु,म चाहन्छु,親しい友達をの結婚式に招待された。,मलाई एक नजिकको साथीको विवाहमा निम्तो दिइएको थियो।,ネパール語,N3
43,知人,ちじん,परिचित,परिचित,क्षति,सुरक्षित,परिचित,知人の紹介で、彼と知り合った。,मैले उहाँलाई चिनेको परिचयबाट भेटें।,ネパール語,N3
44,つなぐ,つなぐ,जोड्नु,अपराध र रक्षा,जोड्नु,तरल,जोड्नु,子どもたちは、手をつないで学校に行く。,बालबालिका हात समाएर विद्यालय जान्छन् ।,ネパール語,N3
45,つながる,つながる,जडान गर्नु,विवरणहरू,सामान्य ,जडान गर्नु,जडान गर्नु,夜になっても、電話が繋がらない。,राती पनि फोन जोडिदैन ।,ネパール語,N3
46,当時,とうじ,यो समयमा,यो समयमा,अपराध र रक्षा,राष्ट्र,यो समयमा,彼女はクラスメートだったが、当時は、あまりはなさなっかた。,"उनी मेरो सहपाठी थिइन्, तर त्यतिबेला हामीले एकअर्कालाई धेरै चिन्न सकेनौं।",ネパール語,N3
47,祝う,いわう,यो समयमा,खडा साइनबोर्ड,यो समयमा,गलत,यो समयमा,友達の婚約を祝うための会を開いた。,मैले मेरो साथीको सगाई मनाउन पार्टी आयोजना गरें।,ネパール語,N3
48,遠慮（する）,えんりょう,हिचकिचाहट,ठेल्नु,त्रुटि,हिचकिचाहट,हिचकिचाहट,遠慮しないで食べてください。,कृपया यसलाई खान नबिर्सनुहोस्।,ネパール語,N3
49,しょっちゅう,しょうちょう,अक्सर,प्रत्याशा,अक्सर,संयुक्त,अक्सर,幼なじみとしょっちゅう食事している。,म प्रायः मेरो बाल्यकालको साथीसँग खान्छु।,ネパール語,N3
50,割引,わりびき,छुट,अँध्यारो छ,आश्चर्य,छुट,छुट,あのパン屋さんは 10 パーセントの割引を受けています。,त्यो बेकरीमा बुधबार १० प्रतिशत छुट छ।,ネパール語,N3
51,得,とく,बार्गेन,बल्ल,अप्रत्याशित,बार्गेन,बार्गेन,値段もお手頃だったヒロインに行ってきました。,"म हिरोइनमा गएँ, जसको उचित मूल्य थियो।",ネパール語,N3
52,集中,しゅうちゅう,फोकस गर्नुहोस्,भेटियो,फोकस गर्नुहोस्,भिजुअल,फोकस गर्नुहोस्,集中力の問題,एकाग्रता समस्याहरू,ネパール語,N3
53,速度,そくど,गति,विशेष,गति,भुइँ,गति,速度を維持しながら運転してください。,कृपया आफ्नो गति कायम राख्दै ड्राइभ गर्नुहोस्।,ネパール語,N3
54,電源,でんげん,शक्ति,शक्ति,लेख,शक्ति,शक्ति,夜間はコンピュータの電源を切ります。,राति आफ्नो कम्प्युटर बन्द गर्नुहोस्।,ネパール語,N3
55,専攻,せんこう,मेजर,मेजर,हुनसक्छ,भण्डारण,मेजर,学生は哲学を勉強します。,विद्यार्थीहरूले दर्शन अध्ययन गर्छन्।,ネパール語,N3
56,床,ゆか,भुइँ,फूल,उडान,भुइँ,भुइँ,リビングの床には何もありません。,बैठक कोठाको भुइँमा केही छैन।,ネパール語,N3
57,結果,けっか,नतिजा,नतिजा,सहि,आफै तर्फ,नतिजा,あなたも私も、できるだけ早く知りたいと思っていることはわかります。,म तिमीलाई चिन्छु र म दुबैलाई सकेसम्म चाँडो जान्न चाहन्छु।,ネパール語,N3
58,知識,ちしき,ज्ञान,थाहा छ,ज्ञान,नक,ज्ञान,より多くの知識を得るように努めてください。,थप ज्ञान प्राप्त गर्ने प्रयास गर्नुहोस्।,ネパール語,N3
59,内側,うちがわ,भित्र,भित्र,ब्याज,तातो,भित्र,この家は古いですが、中はきれいです。,"यो घर पुरानो छ, तर भित्र सफा छ।",ネパール語,N3
60,単語,たんごあんきどくしょどくしょ,शब्दावली,स्वर,भोल्युम,शब्दावली,शब्दावली,たくさんの言葉を覚えていきましょう。,धेरै शब्दहरू याद गरौं।,ネパール語,N3
61,暗記,あんき,याद गर्नुहोस्,सदस्य,सन्देश,याद गर्नुहोस्,याद गर्नुहोस्,この文を暗記するには1時間かかります。,यो वाक्य याद गर्न तपाईंलाई एक घण्टा लाग्नेछ।,ネパール語,N3
62,好み,このみ,मन पराउने,मन पराउने,त्यस्तै,सतह,मन पराउने,この商品の色とデザインがとても気に入りました。,मलाई यो उत्पादनको रंग र डिजाइन साँच्चै मनपर्छ।,ネパール語,N3
63,読書,どくしょ,पढ्दै,घटाउनुहोस्,पढ्दै,आदर्श,पढ्दै,通勤途中に読んでいました。,म काममा जाने बाटोमा पढ्दै थिएँ।,ネパール語,N3
64,合格,ごうかく,उत्तीर्ण,पास गर्न सकिने,अभिभावक,उत्तीर्ण,उत्तीर्ण,毎日頑張っているので必ず探してみます。,"म हरेक दिन कडा परिश्रम गर्दैछु, त्यसैले म निश्चित रूपमा यो खोज्नेछु।",ネパール語,N3
65,正面,しょうめん,अगाडि,अगाडि,खाना,असर,अगाडि,小さな本屋の中にあるパン屋さんを発見。,मैले एउटा सानो पुस्तक पसल भित्र एउटा बेकरी भेट्टाएँ।,ネパール語,N3
66,履歴書,りれきしょ,पुन: सुरु गर्नुहोस्,नतिजा,साँच्चै,पुन: सुरु गर्नुहोस्,पुन: सुरु गर्नुहोस्,私の履歴書の写真を撮ります。,मेरो बायोडाटा को एक फोटो लिनुहोस्।,ネパール語,N3
67,件名,けんめい,विषय,सबवे,यस्तो,सहर,विषय,電子メール戦争は長い間待ち望まれてきました。,इमेल युद्धहरू लामो समयदेखि बाँकी छन्।,ネパール語,N3
68,患者,かんじゃ,बिरामी,विषय,अभिभावक,व्यवहार,बिरामी,この病院には老人も若者もたくさんいます。,यो अस्पतालमा वृद्धवृद्धा र युवाहरु धेरै छन् ।,ネパール語,N3
69,絵画,えめん,चित्र,छान्नुहोस्,समुद्री डाकू,चित्र,चित्र,来年は自分の絵のスタイルを計画します。,अर्को वर्ष म मेरो चित्रकला शैली योजना गर्नेछु।,ネパール語,N3
