ID,言葉,フリガナ,言葉意味,答A,答B,答C,正答,例,例意味,言語,レベル
1,役者,やくしゃ,अभिनेताहरू,अभिनेताहरू,लेख,दुर्घटना,अभिनेताहरू,私はアルバイトが休みの日には好きな役者が出る映画をよく見ています。,"पार्ट टाइम जागिरबाट बिदा भएका दिनहरू, म प्रायः मेरो मनपर्ने चलचित्रहरू हेर्छु।",ネパール語,N2
2,撮影,さつえい,कोरियोग्राफर,च्याम्पियन,क्लीभर,सफा,कोरियोग्राफर,遊ぶ時に私がいつも友達の写真をたくさんさつえいしています。,हामी खेल्दा म सधैं मेरा साथीहरूको धेरै फोटो लिन्छु।,ネパール語,N2
3,品質,ひんしつ,मात्रा,प्रश्न,गुणस्तर,मात्रा,गुणस्तर,私は買い物する時には高いけどひんしついい物を買うようにしています。,पसलमा जाँदा महँगो सामान किन्न खोज्छु ।,ネパール語,N2
4,見た目,みため,हरायो,माया,देखिन्छ,हरायो,देखिन्छ,"兄さんの顔を見るのは送るだか,でも本当はとても優しいだ。",मेरा भाइहरूको अनुहार रिस देखियो तर वास्तवमा उहाँ धेरै दयालु हुनुहुन्छ।,ネパール語,N2
5,そわそわ,そわそわ,नर्भस,कहिल्यै,नम्बर,अर्को,अर्को,"面接の日は朝は,そわそわと落ち着かない。",अन्तर्वार्ताको दिन म नर्भस र बेचैन थिएँ।,ネパール語,N2
6,宗教,しゅうきょう,धर्म,साँच्चै,धर्म,हटाउनुहोस्,धर्म,ネパールでは様々な宗教が信仰されています。,नेपालमा विभिन्न धर्म मानिन्छन् ।,ネパール語,N2
7,退屈,たいくつ,बोरिङ,पुस्तक,बोरिङ,व्यापार,बोरिङ,一人暮らし住んでから時時退屈な生活と思っています。,म एक्लै भएकोले कहिलेकाहीँ मेरो जीवन बोरिंग हुन्छ जस्तो लाग्छ।,ネパール語,N2
8,身につける,みにつける,सीपहरू,छोड्नुहोस्,देखि,सीपहरू,सीपहरू,日本語をもって勉強して会話力を身につけたい,म जापानी भाषा सिक्न र कुराकानी गर्ने सीपहरू प्राप्त गर्न चाहन्छु।,ネパール語,N2
9,検索,けんさく,खोज्नुहोस्,खोज्नुहोस्,सिजन,सागर,खोज्नुहोस्,日本語の言葉を分からない時にgoogle でけんさくする,जापानी शब्द नबुझेको बेला मैले गुगल एप प्रयोग गरें।,ネパール語,N2
10,冒険,ぼうけん,साहसिक,थप्नुहोस्,ठेगाना,साहसिक,साहसिक,"たまには,少しぼうけんみたい",कहिलेकाहीँ म सानो साहसिकमा जान चाहन्छु।,ネパール語,N2
11,心細い,こころぼそい,एक्लो,माया,लामो,एक्लो,एक्लो,"日本へ来たばかりの頃は,とてもこころぼそかった.",भर्खरै जापान पुग्दा मलाई एक्लो महसुस भयो।,ネパール語,N2
12,減量,げんりょう,तौल घट्नु,तौल घट्नु,अनौठो,काम,तौल घट्नु,ダイエットで減量にせいこうした,म डाइटमा गएर तौल घटाउन सफल भएँ।,ネパール語,N2
13,市場,いちば,बजार,बजार,मुकुट,बनाउनुहोस्,बजार,日本の市場に見たこともない野菜がある,मैले पहिले कहिल्यै नदेखेका तरकारीहरू जापानको बजारमा बेचिन्छन्।,ネパール語,N2
